"DR1IATOA.Code.or.Value","DR1IATOA.Value.Description","DR1IATOA.Count","DR1IATOA.Cumulative","DR1IATOA.Skip.to.Item"
"0 to 44.709","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
