"LBXCOT.Code.or.Value","LBXCOT.Value.Description","LBXCOT.Count","LBXCOT.Cumulative","LBXCOT.Skip.to.Item"
"0.011 to 1160","Range of Values",8251,8251,NA
".","Missing",960,9211,NA
