"RHQ541A.Code.or.Value","RHQ541A.Value.Description","RHQ541A.Count","RHQ541A.Cumulative","RHQ541A.Skip.to.Item"
"10","Pills",445,445,NA
"77","Refused",0,445,NA
"99","Don't know",0,445,NA
".","Missing",3152,3597,NA
