"CSQ100.Code.or.Value","CSQ100.Value.Description","CSQ100.Count","CSQ100.Cumulative","CSQ100.Skip.to.Item"
"1","Yes",3528,3528,NA
"2","No",265,3793,NA
"7","Refused",0,3793,NA
"9","Don't know",22,3815,NA
".","Missing",0,3815,NA
