"WTSPP32.Code.or.Value","WTSPP32.Value.Description","WTSPP32.Count","WTSPP32.Cumulative","WTSPP32.Skip.to.Item"
"0 to 774485.02054","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
