"FSD421.Code.or.Value","FSD421.Value.Description","FSD421.Count","FSD421.Cumulative","FSD421.Skip.to.Item"
"1","Often",95,95,NA
"2","Sometimes",465,560,NA
"3","Never",2931,3491,NA
"7","Refused",2,3493,NA
"9","Don't know",12,3505,NA
".","Missing",7032,10537,NA
