"URXUTL.Code.or.Value","URXUTL.Value.Description","URXUTL.Count","URXUTL.Cumulative","URXUTL.Skip.to.Item"
"0.011 to 2.35","Range of Values",2848,2848,NA
".","Missing",93,2941,NA
