"URXUAB.Code.or.Value","URXUAB.Value.Description","URXUAB.Count","URXUAB.Cumulative","URXUAB.Skip.to.Item"
"0.82 to 970","Range of Values",2521,2521,NA
".","Missing",84,2605,NA
