"CIQD103.Code.or.Value","CIQD103.Value.Description","CIQD103.Count","CIQD103.Cumulative","CIQD103.Skip.to.Item"
"0 to 280","Range of Values",100,100,NA
"777","Refuse",0,100,NA
"999","Don't know",2,102,NA
".","Missing",748,850,NA
