"WHQ510A.Code.or.Value","WHQ510A.Value.Description","WHQ510A.Count","WHQ510A.Cumulative","WHQ510A.Skip.to.Item"
"10","I want to look better",180,180,NA
"77","Refused",1,181,NA
"99","Don't know",0,181,NA
".","Missing",1279,1460,NA
