"AUXLR180.Code.or.Value","AUXLR180.Value.Description","AUXLR180.Count","AUXLR180.Cumulative","AUXLR180.Skip.to.Item"
"-37 to 79","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
