"CIQD025.Code.or.Value","CIQD025.Value.Description","CIQD025.Count","CIQD025.Cumulative","CIQD025.Skip.to.Item"
"1","Yes",81,81,""
"2","No",28,109,"CIQD028"
"7","Refuse",0,109,"CIQD028"
"9","Don't know",0,109,"CIQD028"
".","Missing",669,778,""
