"MCQ160d.Code.or.Value","MCQ160d.Value.Description","MCQ160d.Count","MCQ160d.Cumulative","MCQ160d.Skip.to.Item"
"1","Yes",129,129,NA
"2","No",5412,5541,NA
"7","Refused",1,5542,NA
"9","Don't know",17,5559,NA
".","Missing",3805,9364,NA
