"LBXVCF.Code.or.Value","LBXVCF.Value.Description","LBXVCF.Count","LBXVCF.Cumulative","LBXVCF.Skip.to.Item"
"1.5415 to 22000","Range of Values",744,744,NA
".","Missing",705,1449,NA
