"URXNDEA.Code.or.Value","URXNDEA.Value.Description","URXNDEA.Count","URXNDEA.Cumulative","URXNDEA.Skip.to.Item"
"3.55 to 75.5","Range of Values",2470,2470,NA
".","Missing",285,2755,NA
