"WHD140.Code.or.Value","WHD140.Value.Description","WHD140.Count","WHD140.Cumulative","WHD140.Skip.to.Item"
"86 to 717","Range of Values",6399,6399,NA
"7777","Refused",8,6407,NA
"9999","Don't know",98,6505,NA
".","Missing",384,6889,NA
