"AUDTYL49.Code.or.Value","AUDTYL49.Value.Description","AUDTYL49.Count","AUDTYL49.Cumulative","AUDTYL49.Skip.to.Item"
"0 to 3.59","Range of Values",2756,2756,NA
".","Missing",278,3034,NA
