"AUXRR157.Code.or.Value","AUXRR157.Value.Description","AUXRR157.Count","AUXRR157.Cumulative","AUXRR157.Skip.to.Item"
"-19 to 75","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
