"AUXU6KL.Code.or.Value","AUXU6KL.Value.Description","AUXU6KL.Count","AUXU6KL.Cumulative","AUXU6KL.Skip.to.Item"
"-10 to 120","Range of Values",3846,3846,NA
"666","No response",3,3849,NA
"888","Could not obtain",16,3865,NA
".","Missing",635,4500,NA
