"WBXA060.Code.or.Value","WBXA060.Value.Description","WBXA060.Count","WBXA060.Cumulative","WBXA060.Skip.to.Item"
"-5.1735 to 0.9997","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
