"AUXLR234.Code.or.Value","AUXLR234.Value.Description","AUXLR234.Count","AUXLR234.Cumulative","AUXLR234.Skip.to.Item"
"-8 to 62","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
