"LBXT4F.Code.or.Value","LBXT4F.Value.Description","LBXT4F.Count","LBXT4F.Cumulative","LBXT4F.Skip.to.Item"
"0.43 to 2.76","Range of Values",1970,1970,NA
".","Missing",207,2177,NA
