"AUDTYR77.Code.or.Value","AUDTYR77.Value.Description","AUDTYR77.Count","AUDTYR77.Cumulative","AUDTYR77.Skip.to.Item"
"0 to 0.88","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
