"AUXTCOMR.Code.or.Value","AUXTCOMR.Value.Description","AUXTCOMR.Count","AUXTCOMR.Cumulative","AUXTCOMR.Skip.to.Item"
"0.15 to 7.094","Range of Values",4148,4148,NA
"777","Refused",0,4148,NA
"888","Could not obtain",0,4148,NA
".","Missing",434,4582,NA
