"URXDTZ.Code.or.Value","URXDTZ.Value.Description","URXDTZ.Count","URXDTZ.Cumulative","URXDTZ.Skip.to.Item"
"0.1768 to 8.63","Range of Values",2482,2482,NA
".","Missing",212,2694,NA
