"DR1TSUGR.Code.or.Value","DR1TSUGR.Value.Description","DR1TSUGR.Count","DR1TSUGR.Cumulative","DR1TSUGR.Skip.to.Item"
"0.1 to 1103.36","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
