"LBXOTT.Code.or.Value","LBXOTT.Value.Description","LBXOTT.Count","LBXOTT.Cumulative","LBXOTT.Skip.to.Item"
"0.416 to 15.1","Range of Values",4262,4262,NA
".","Missing",1161,5423,NA
