"ORXH06.Code.or.Value","ORXH06.Value.Description","ORXH06.Count","ORXH06.Cumulative","ORXH06.Skip.to.Item"
"1","Positive",16,16,NA
"2","Negative",4708,4724,NA
"3","Not evaluated",333,5057,NA
".","Missing",0,5057,NA
