"BPQ150B.Code.or.Value","BPQ150B.Value.Description","BPQ150B.Count","BPQ150B.Cumulative","BPQ150B.Skip.to.Item"
"1","Yes",6,6,NA
"2","No",7825,7831,NA
".","Missing",2422,10253,NA
