"DXXPT16X.Code.or.Value","DXXPT16X.Value.Description","DXXPT16X.Count","DXXPT16X.Cumulative","DXXPT16X.Skip.to.Item"
"406 to 1010","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
