"URXMPB.Code.or.Value","URXMPB.Value.Description","URXMPB.Count","URXMPB.Cumulative","URXMPB.Skip.to.Item"
"0.71 to 24888.4","Range of Values",2651,2651,NA
".","Missing",152,2803,NA
