"AUXU1K1R.Code.or.Value","AUXU1K1R.Value.Description","AUXU1K1R.Count","AUXU1K1R.Cumulative","AUXU1K1R.Skip.to.Item"
"-10 to 95","Range of Values",1876,1876,NA
"666","No response",0,1876,NA
"888","Could not obtain",0,1876,NA
".","Missing",170,2046,NA
