"DS2IKCAL.Code.or.Value","DS2IKCAL.Value.Description","DS2IKCAL.Count","DS2IKCAL.Cumulative","DS2IKCAL.Skip.to.Item"
"0.03 to 480","Range of Values",1430,1430,NA
".","Missing",4168,5598,NA
