"SMD100NI.Code.or.Value","SMD100NI.Value.Description","SMD100NI.Count","SMD100NI.Cumulative","SMD100NI.Skip.to.Item"
"0.1 to 1.8","Range of Values",954,954,NA
".","Missing",4087,5041,NA
