"DR1TP184.Code.or.Value","DR1TP184.Value.Description","DR1TP184.Count","DR1TP184.Cumulative","DR1TP184.Skip.to.Item"
"0 to 0.597","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
