"OSQ030ba.Code.or.Value","OSQ030ba.Value.Description","OSQ030ba.Count","OSQ030ba.Cumulative","OSQ030ba.Skip.to.Item"
"1 to 88","Range of Values",522,522,NA
"77777","Refused",0,522,NA
"99999","Don't know",6,528,NA
".","Missing",4883,5411,NA
