"AUDTYR74.Code.or.Value","AUDTYR74.Value.Description","AUDTYR74.Count","AUDTYR74.Cumulative","AUDTYR74.Skip.to.Item"
"0 to 0.78","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
