"TYXP115.Code.or.Value","TYXP115.Value.Description","TYXP115.Count","TYXP115.Cumulative","TYXP115.Skip.to.Item"
"-299 to 54","Range of Values",8430,8430,NA
".","Missing",39,8469,NA
