"DRD350JQ.Code.or.Value","DRD350JQ.Value.Description","DRD350JQ.Count","DRD350JQ.Cumulative","DRD350JQ.Skip.to.Item"
"1 to 4","Range of Values",16,16,NA
".","Missing",9797,9813,NA
