"WBXA105.Code.or.Value","WBXA105.Value.Description","WBXA105.Count","WBXA105.Cumulative","WBXA105.Skip.to.Item"
"-6.7106 to 0.9968","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
