"MCQ117U.Code.or.Value","MCQ117U.Value.Description","MCQ117U.Count","MCQ117U.Cumulative","MCQ117U.Skip.to.Item"
"1","Months",187,187,NA
"2","Years",150,337,NA
"7","Refused",0,337,NA
"9","Don't know",0,337,NA
".","Missing",9156,9493,NA
