"BMXWAIST.Code.or.Value","BMXWAIST.Value.Description","BMXWAIST.Count","BMXWAIST.Cumulative","BMXWAIST.Skip.to.Item"
"40 to 169.5","Range of Values",7601,7601,NA
".","Missing",1103,8704,NA
