"URDP07LC.Code.or.Value","URDP07LC.Value.Description","URDP07LC.Count","URDP07LC.Cumulative","URDP07LC.Skip.to.Item"
"0","At or above the detection limit",2481,2481,NA
"1","Below lower detection limit",31,2512,NA
".","Missing",185,2697,NA
