"PFQ020.Code.or.Value","PFQ020.Value.Description","PFQ020.Count","PFQ020.Cumulative","PFQ020.Skip.to.Item"
"1","Yes",161,161,""
"2","No",4448,4609,"PFQ035"
"7","Refused",0,4609,"PFQ035"
"9","Don't know",0,4609,"PFQ035"
".","Missing",4884,9493,""
