"DSQIVC.Code.or.Value","DSQIVC.Value.Description","DSQIVC.Count","DSQIVC.Cumulative","DSQIVC.Skip.to.Item"
"0.8 to 10000","Range of Values",3254,3254,NA
".","Missing",5015,8269,NA
