"MGXH2T1.Code.or.Value","MGXH2T1.Value.Description","MGXH2T1.Count","MGXH2T1.Cumulative","MGXH2T1.Skip.to.Item"
"0 to 77.3","Range of Values",7071,7071,NA
".","Missing",750,7821,NA
