"RHQ540.Code.or.Value","RHQ540.Value.Description","RHQ540.Count","RHQ540.Cumulative","RHQ540.Skip.to.Item"
"1","Yes",529,529,""
"2","No",1639,2168,"End of Section"
"7","Refused",0,2168,"End of Section"
"9","Don't know",6,2174,"End of Section"
".","Missing",1343,3517,""
