"TYXA158.Code.or.Value","TYXA158.Value.Description","TYXA158.Count","TYXA158.Cumulative","TYXA158.Skip.to.Item"
"0.09 to 6.682","Range of Values",5036,5036,NA
".","Missing",3433,8469,NA
