"VTQ280D.Code.or.Value","VTQ280D.Value.Description","VTQ280D.Count","VTQ280D.Cumulative","VTQ280D.Skip.to.Item"
"1","Yes",66,66,NA
"2","No",1395,1461,NA
"7","Refused",3,1464,NA
"9","Don't know",0,1464,NA
".","Missing",25,1489,NA
