"RFXC014.Code.or.Value","RFXC014.Value.Description","RFXC014.Count","RFXC014.Cumulative","RFXC014.Skip.to.Item"
"-5.435 to 4.876","Range of Values",33713,33713,NA
".","Missing",8,33721,NA
