"RHQ190.Code.or.Value","RHQ190.Value.Description","RHQ190.Count","RHQ190.Cumulative","RHQ190.Skip.to.Item"
"13 to 55","Range of Values",1830,1830,NA
"777","Refused",0,1830,NA
"999","Don't know",8,1838,NA
".","Missing",1726,3564,NA
