"VTQ280B.Code.or.Value","VTQ280B.Value.Description","VTQ280B.Count","VTQ280B.Cumulative","VTQ280B.Skip.to.Item"
"1","Yes",248,248,NA
"2","No",2991,3239,NA
"7","Refused",0,3239,NA
"9","Don't know",0,3239,NA
".","Missing",306,3545,NA
