"DR1IVC.Code.or.Value","DR1IVC.Value.Description","DR1IVC.Count","DR1IVC.Cumulative","DR1IVC.Skip.to.Item"
"0 to 1363.4","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
