"RFXT098.Code.or.Value","RFXT098.Value.Description","RFXT098.Count","RFXT098.Cumulative","RFXT098.Skip.to.Item"
"849 to 858","Range of Values",33692,33692,NA
".","Missing",29,33721,NA
