"RFXT154.Code.or.Value","RFXT154.Value.Description","RFXT154.Count","RFXT154.Cumulative","RFXT154.Skip.to.Item"
"1344 to 1353","Range of Values",33672,33672,NA
".","Missing",49,33721,NA
