"DIQ175A.Code.or.Value","DIQ175A.Value.Description","DIQ175A.Count","DIQ175A.Cumulative","DIQ175A.Skip.to.Item"
"10","Family history",1337,1337,NA
"77","Refused",0,1337,NA
"99","Don't know",1,1338,NA
".","Missing",8432,9770,NA
