"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"8 to 659","Range of Values",2326,2326,NA
".","Missing",2,2328,NA
