"CIQDPJ.Code.or.Value","CIQDPJ.Value.Description","CIQDPJ.Count","CIQDPJ.Cumulative","CIQDPJ.Skip.to.Item"
"1","Yes",1,1,"CIDDPRB"
"2","No",0,1,""
"7","Refuse",0,1,""
"9","Don't know",1,2,""
".","Missing",926,928,""
