"URXOP1.Code.or.Value","URXOP1.Value.Description","URXOP1.Count","URXOP1.Cumulative","URXOP1.Skip.to.Item"
"0.35 to 133.62","Range of Values",2494,2494,NA
".","Missing",118,2612,NA
