"DR1TP183.Code.or.Value","DR1TP183.Value.Description","DR1TP183.Count","DR1TP183.Cumulative","DR1TP183.Skip.to.Item"
"0.006 to 13.325","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
