"WTSBA22.Code.or.Value","WTSBA22.Value.Description","WTSBA22.Count","WTSBA22.Cumulative","WTSBA22.Skip.to.Item"
"0 to 351495.21609","Range of Values",946,946,NA
".","Missing",65,1011,NA
