"DRABF.Code.or.Value","DRABF.Value.Description","DRABF.Count","DRABF.Cumulative","DRABF.Skip.to.Item"
"1","Yes",2391,2391,NA
"2","No",144549,146940,NA
".","Missing",0,146940,NA
