"AUDTYL84.Code.or.Value","AUDTYL84.Value.Description","AUDTYL84.Count","AUDTYL84.Cumulative","AUDTYL84.Skip.to.Item"
"0","0",2154,2154,NA
".","Missing",214,2368,NA
