"AUDTYL48.Code.or.Value","AUDTYL48.Value.Description","AUDTYL48.Count","AUDTYL48.Cumulative","AUDTYL48.Skip.to.Item"
"0 to 2.78","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
